2023-02-04 08:26:22,859: Fetching Zamorak Stats for Group Size = 5
2023-02-04 08:37:11,755: Total Teams: 642
2023-02-04 08:37:11,755: Total Unique Players: 1086
+--------------+-------+----------------+
|     Name     | Count | Highest Enrage |
| Im Stephano  |   2   |      100       |
|   Mostima    |   2   |      100       |
| Sleepy Ganyu |   2   |      100       |
|  Xamavoice   |   2   |      100       |
|    Reeker    |   2   |      100       |
|    azzimi    |   2   |      100       |
|    Reca9     |   2   |      100       |
|    Clouwd    |   2   |      100       |
| Allakhaslam  |   2   |      100       |
|    FakeBo    |   2   |      100       |
|   0thello    |   2   |      100       |
| Mislead Fate |   2   |      100       |
|   Pechorin   |   2   |      100       |
|  Grand Dsos  |   1   |      7510      |
| Strawberries |   1   |      7000      |
|  Sassy nex   |   1   |      7000      |
|    xMiley    |   1   |      7000      |
|   HUTAOJOY   |   1   |      7000      |
| Friendliness |   1   |      4500      |
|     Ayah     |   1   |      4069      |
|    kyroh     |   1   |      4000      |
|    Denis     |   1   |      2030      |
|    Stormm    |   1   |      2000      |
|   bryce-99   |   1   |      2000      |
|   So Tuna    |   1   |      2000      |
|    Dr Mad    |   1   |      2000      |
| SmexyLonely  |   1   |      1010      |
| Avatarhades  |   1   |      1000      |
| DerBaumhaus  |   1   |      1000      |
| Perfect Plus |   1   |      900       |
|    poe up    |   1   |      600       |
|     Araa     |   1   |      590       |
|    Vanmus    |   1   |      590       |
| MerryCritmus |   1   |      590       |
|   Vordrago   |   1   |      590       |
|  KtTheLemon  |   1   |      590       |
|  Benjamham   |   1   |      540       |
| Ninja Nothin |   1   |      510       |
|    mionee    |   1   |      500       |
|    senie     |   1   |      500       |
| Dear anyone  |   1   |      500       |
|    Magsy     |   1   |      500       |
|   nullgpt    |   1   |      500       |
|     Roi      |   1   |      500       |
|    Jagi_o    |   1   |      500       |
|  No bowske   |   1   |      500       |
|    Mitic     |   1   |      500       |
|    Ann a     |   1   |      500       |
